stop_id,nombre,ciudad,provincia,latitud,longitud,num_andenes,tiene_sala_club
87814,Avignon,Avignon,Desconocida,43.921938,4.785813,0,0
87302,NIMES,NIMES,Desconocida,43.832291,4.365845,0,0
87173,Montpellier,Montpellier,Desconocida,43.604852,3.880491,0,0
87088,Narbonne,Narbonne,Desconocida,43.190253,3.005716,0,0
87374,Perpignan,Perpignan,Desconocida,42.696421,2.880381,0,0
87303,Lyon Part Dieu,Lyon Part Dieu,Desconocida,45.760281,4.859801,0,0
87810,Valence,Valence,Desconocida,44.991545,4.978703,0,0
61015,Archena-Fortuna,Archena-Fortuna,Desconocida,38.13132,-1.236037,0,0
61012,Cieza,Cieza,Desconocida,38.246609,-1.421702,0,0
61005,Hellin,Hellin,Desconocida,38.508776,-1.688437,0,0
10610,Valladolid-Universidad,Valladolid-Universidad,Desconocida,41.660257,-4.704037,0,0
10602,Cabezon del Pisuerga,Cabezon del Pisuerga,Desconocida,41.737276,-4.651294,0,0
10603,Corcos-Aguilarejo,Corcos-Aguilarejo,Desconocida,41.766446,-4.623485,0,0
10604,Cubillas de Santa Marta,Cubillas de Santa Marta,Desconocida,41.808861,-4.579754,0,0
10605,Dueñas,Dueñas,Desconocida,41.87048,-4.541216,0,0
11000,Venta De Baños,Venta De Baños,Desconocida,41.91736,-4.495844,0,0
15001,Grijota,Grijota,Desconocida,42.049225,-4.583954,0,0
15003,Becerril,Becerril,Desconocida,42.104706,-4.64712,0,0
15004,Paredes de Nava,Paredes de Nava,Desconocida,42.150694,-4.697599,0,0
15007,Villada,Villada,Desconocida,42.245238,-4.970589,0,0
15008,Grajal,Grajal,Desconocida,42.323246,-5.013381,0,0
15009,Sahagun,Sahagun,Desconocida,42.369329,-5.022667,0,0
15012,El Burgo Ranero,El Burgo Ranero,Desconocida,42.425753,-5.208592,0,0
15015,Palanquinos,Palanquinos,Desconocida,42.460716,-5.497584,0,0
15106,La Robla,La Robla,Desconocida,42.804454,-5.626255,0,0
15108,La Pola de Gordon,La Pola de Gordon,Desconocida,42.854099,-5.674524,0,0
15109,Santa Lucia,Santa Lucia,Desconocida,42.87515,-5.639613,0,0
15112,Villamanin,Villamanin,Desconocida,42.93671,-5.657637,0,0
15113,Busdongo,Busdongo,Desconocida,42.984495,-5.705391,0,0
15116,Linares-Congostinas,Linares-Congostinas,Desconocida,43.101743,-5.772162,0,0
15401,La Calzada,La Calzada,Desconocida,43.5353848,-5.6971507,0,0
15218,Llamaquique,Llamaquique,Desconocida,43.3588282,-5.8573201,0,0
